group,subgroup,value
Weir Farm National Historical Park,Ambystomatidae,2
Weir Farm National Historical Park,Bufonidae,1
Weir Farm National Historical Park,Hylidae,2
Weir Farm National Historical Park,Plethodontidae,2
Weir Farm National Historical Park,Ranidae,4
Weir Farm National Historical Park,Salamandridae,1
Whiskeytown-Shasta-Trinity National Recreation Area,Ambystomatidae,2
Whiskeytown-Shasta-Trinity National Recreation Area,Bufonidae,1
Whiskeytown-Shasta-Trinity National Recreation Area,Hylidae,1
Whiskeytown-Shasta-Trinity National Recreation Area,Leiopelmatidae,1
Whiskeytown-Shasta-Trinity National Recreation Area,Plethodontidae,2
Whiskeytown-Shasta-Trinity National Recreation Area,Ranidae,2
Whiskeytown-Shasta-Trinity National Recreation Area,Salamandridae,1
Whiskeytown-Shasta-Trinity National Recreation Area,Scaphiopodidae,1
White Sands National Park,Ambystomatidae,1
White Sands National Park,Bufonidae,3
White Sands National Park,Ranidae,2
White Sands National Park,Scaphiopodidae,3
Whitman Mission National Historic Site,Ambystomatidae,1
Whitman Mission National Historic Site,Hylidae,1
Whitman Mission National Historic Site,Ranidae,3
Whitman Mission National Historic Site,Scaphiopodidae,1
Wilson's Creek National Battlefield,Bufonidae,1
Wilson's Creek National Battlefield,Hylidae,4
Wilson's Creek National Battlefield,Microhylidae,1
Wilson's Creek National Battlefield,Plethodontidae,6
Wilson's Creek National Battlefield,Proteidae,1
Wilson's Creek National Battlefield,Ranidae,2
Wind Cave National Park,Ambystomatidae,1
Wind Cave National Park,Bufonidae,2
Wind Cave National Park,Hylidae,1
Wind Cave National Park,Ranidae,2
Wind Cave National Park,Scaphiopodidae,1
Wolf Trap National Park for the Performing Arts,Ambystomatidae,1
Wolf Trap National Park for the Performing Arts,Bufonidae,1
Wolf Trap National Park for the Performing Arts,Hylidae,3
Wolf Trap National Park for the Performing Arts,Plethodontidae,3
Wolf Trap National Park for the Performing Arts,Ranidae,4
Wolf Trap National Park for the Performing Arts,Salamandridae,1
Women's Rights National Historical Park,Ranidae,1
Wrangell-St. Elias National Park,Bufonidae,1
Wrangell-St. Elias National Park,Ranidae,1
Wright Brothers National Memorial,Bufonidae,2
Wright Brothers National Memorial,Hylidae,2
Wright Brothers National Memorial,Microhylidae,1
Wright Brothers National Memorial,Plethodontidae,1
Wright Brothers National Memorial,Ranidae,3
Wright Brothers National Memorial,Scaphiopodidae,1
Wupatki National Monument,Ambystomatidae,1
Wupatki National Monument,Bufonidae,3
Wupatki National Monument,Scaphiopodidae,2
Yellowstone National Park,Ambystomatidae,1
Yellowstone National Park,Bufonidae,1
Yellowstone National Park,Hylidae,1
Yellowstone National Park,Ranidae,2
Yellowstone National Park,Scaphiopodidae,1
Yosemite National Park,Bufonidae,2
Yosemite National Park,Hylidae,1
Yosemite National Park,Plethodontidae,5
Yosemite National Park,Ranidae,4
Yosemite National Park,Salamandridae,1
Yucca House National Monument,Ambystomatidae,1
Yucca House National Monument,Bufonidae,1
Yucca House National Monument,Hylidae,1
Yucca House National Monument,Ranidae,2
Yucca House National Monument,Scaphiopodidae,1
Yukon-Charley Rivers National Preserve,Ranidae,1
Zion National Park,Ambystomatidae,1
Zion National Park,Bufonidae,3
Zion National Park,Hylidae,1
Zion National Park,Ranidae,1
Zion National Park,Scaphiopodidae,1
